iter	Passed	Remaining
0	133	133396
1	134	67137
2	135	45024
3	136	33956
4	137	27305
5	138	22873
6	139	19751
7	140	17367
8	140	15521
9	141	14034
10	142	12836
11	144	11903
12	145	11084
13	147	10392
14	148	9780
15	150	9242
16	151	8750
17	152	8318
18	154	7958
19	156	7649
20	158	7384
21	159	7108
22	161	6866
23	162	6628
24	163	6391
25	164	6173
26	165	5970
27	166	5781
28	167	5618
29	169	5466
30	171	5371
31	172	5231
32	174	5104
33	175	4977
34	176	4858
35	177	4745
36	178	4639
37	179	4537
38	180	4440
39	181	4350
40	182	4264
41	183	4181
42	185	4126
43	186	4051
44	187	3986
45	188	3919
46	190	3869
47	192	3821
48	193	3763
49	195	3709
50	196	3654
51	197	3604
52	199	3565
53	200	3519
54	202	3471
55	203	3424
56	204	3384
57	208	3379
58	209	3340
59	210	3299
60	212	3269
61	213	3236
62	215	3205
63	217	3177
64	218	3148
65	220	3126
66	222	3103
67	224	3077
68	225	3047
69	227	3021
70	229	2998
71	230	2973
72	232	2950
73	233	2925
74	234	2896
75	239	2906
76	241	2893
77	243	2873
78	244	2852
79	245	2827
80	247	2811
81	248	2786
82	249	2756
83	251	2737
84	252	2712
85	253	2695
86	256	2696
87	258	2677
88	259	2658
89	261	2641
90	262	2622
91	263	2603
92	265	2585
93	266	2566
94	267	2549
95	272	2564
96	273	2548
97	275	2532
98	277	2524
99	278	2507
100	279	2489
101	280	2471
102	281	2454
103	283	2439
104	288	2456
105	289	2443
106	291	2428
107	292	2413
108	293	2401
109	295	2389
110	297	2382
111	299	2377
112	302	2374
113	304	2364
114	305	2352
115	307	2340
116	308	2330
117	310	2318
118	311	2305
119	313	2297
120	315	2292
121	317	2282
122	322	2301
123	324	2290
124	326	2284
125	327	2272
126	329	2265
127	331	2256
128	332	2247
129	334	2236
130	335	2225
131	336	2214
132	338	2207
133	341	2207
134	344	2206
135	346	2201
136	348	2195
137	350	2187
138	351	2178
139	352	2167
140	354	2159
141	355	2147
142	359	2157
143	361	2151
144	364	2146
145	365	2139
146	367	2132
147	369	2125
148	370	2118
149	373	2114
150	375	2109
151	378	2113
152	380	2105
153	381	2098
154	383	2091
155	385	2086
156	387	2081
157	389	2074
158	390	2065
159	391	2057
160	392	2046
161	394	2039
162	395	2032
163	397	2025
164	398	2017
165	400	2010
166	402	2006
167	404	2002
168	405	1994
169	407	1990
170	409	1982
171	410	1978
172	412	1973
173	414	1968
174	416	1965
175	418	1960
176	420	1954
177	421	1948
178	423	1940
179	424	1933
180	426	1928
181	427	1922
182	429	1916
183	431	1915
184	433	1910
185	435	1904
186	436	1899
187	438	1893
188	440	1889
189	442	1885
190	446	1889
191	447	1883
192	449	1880
193	451	1875
194	453	1871
195	455	1866
196	456	1861
197	459	1861
198	461	1856
199	462	1851
200	464	1847
201	466	1841
202	467	1835
203	468	1829
204	470	1825
205	472	1821
206	474	1817
207	476	1813
208	477	1808
209	480	1808
210	482	1803
211	484	1799
212	486	1795
213	488	1794
214	490	1789
215	491	1784
216	493	1782
217	496	1779
218	498	1776
219	499	1772
220	502	1769
221	504	1767
222	506	1763
223	507	1758
224	509	1753
225	510	1748
226	512	1744
227	513	1739
228	516	1738
229	518	1737
230	521	1734
231	522	1730
232	557	1833
233	558	1828
234	559	1822
235	561	1817
236	563	1812
237	565	1810
238	567	1807
239	570	1806
240	571	1800
241	575	1802
242	577	1800
243	580	1798
244	582	1795
245	584	1790
246	586	1786
247	587	1782
248	589	1777
249	591	1773
250	592	1769
251	594	1764
252	596	1761
253	597	1755
254	600	1754
255	602	1750
256	604	1748
257	607	1745
258	613	1753
259	615	1751
260	617	1748
261	620	1748
262	622	1745
263	625	1744
264	628	1742
265	629	1738
266	631	1732
267	633	1730
268	636	1728
269	638	1725
270	640	1722
271	642	1719
272	644	1716
273	646	1713
274	651	1717
275	653	1713
276	655	1711
277	657	1708
278	659	1704
279	660	1699
280	662	1694
281	664	1691
282	665	1686
283	669	1688
284	672	1688
285	674	1684
286	703	1748
287	712	1761
288	714	1757
289	719	1761
290	724	1766
291	731	1773
292	733	1770
293	735	1765
294	769	1839
295	771	1835
296	774	1832
297	775	1828
298	778	1824
299	780	1821
300	782	1817
301	783	1811
302	785	1806
303	786	1800
304	787	1795
305	789	1790
306	791	1785
307	792	1781
308	794	1776
309	796	1773
310	798	1769
311	799	1763
312	801	1758
313	802	1753
314	804	1748
315	806	1744
316	807	1740
317	809	1736
318	810	1731
319	811	1725
320	813	1720
321	814	1715
322	815	1709
323	816	1704
324	818	1700
325	820	1696
326	822	1692
327	823	1687
328	824	1682
329	827	1680
330	829	1676
331	830	1671
332	831	1665
333	833	1662
334	835	1658
335	836	1653
336	837	1648
337	840	1645
338	841	1641
339	842	1636
340	844	1631
341	846	1628
342	849	1626
343	850	1622
344	853	1619
345	854	1614
346	855	1610
347	857	1605
348	858	1601
349	859	1597
350	861	1592
351	862	1588
352	864	1585
353	866	1581
354	871	1582
355	872	1578
356	876	1577
357	877	1573
358	880	1571
359	881	1567
360	883	1563
361	884	1559
362	886	1555
363	888	1552
364	890	1549
365	892	1546
366	894	1543
367	895	1538
368	897	1534
369	899	1530
370	900	1526
371	901	1522
372	903	1518
373	904	1514
374	905	1509
375	907	1506
376	909	1503
377	911	1499
378	912	1495
379	914	1491
380	916	1488
381	917	1484
382	919	1480
383	920	1476
384	921	1472
385	924	1470
386	926	1467
387	927	1463
388	929	1459
389	930	1455
390	932	1451
391	933	1447
392	934	1443
393	936	1440
394	939	1438
395	940	1435
396	942	1432
397	944	1428
398	945	1424
399	946	1420
400	948	1416
401	949	1412
402	950	1408
